Day	peri_infected_0_0	plac_infected_0_0	peri_infected_1_2	plac_infected_1_2	peri_infected_3_max	plac_infected_3_max	peri_infected_all	plac_infected_all	
0	0.571473	0	0.512252	0	0.445933	0	0.492595	0	
1	0.571267	0	0.512143	0	0.445726	0	0.492422	0	
2	0.571885	0	0.512689	0	0.445228	0	0.492499	0	
3	0.57137	0	0.512034	0	0.445145	0	0.492135	0	
4	0.571576	0	0.512252	0	0.44444	0	0.491924	0	
5	0.571473	0	0.511161	0	0.444938	0	0.491751	0	
6	0.570545	0	0.511161	0	0.445228	0	0.491713	0	
7	0.570441	0	0.511597	0	0.445518	0	0.491981	0	
8	0.570751	0	0.511434	0	0.445518	0	0.491981	0	
9	0.570545	0	0.511434	0	0.445518	0	0.491943	0	
10	0.570751	0	0.511161	0	0.44473	0	0.491521	0	
11	0.570545	0	0.511379	0	0.445352	0	0.491847	0	
12	0.570441	0	0.510997	0	0.445021	0	0.49154	0	
13	0.570854	0	0.511325	0	0.445062	0	0.491751	0	
14	0.56941	0	0.511707	0	0.444855	0	0.491521	0	
15	0.569307	0	0.511434	0	0.444357	0	0.491176	0	
16	0.568379	0	0.511597	0	0.444606	0	0.491176	0	
17	0.568998	0	0.511379	0	0.44444	0	0.491137	0	
18	0.568688	0	0.512252	0	0.444108	0	0.491233	0	
19	0.567863	0	0.512198	0	0.443901	0	0.490965	0	
20	0.568276	0	0.512089	0	0.443776	0	0.490945	0	
21	0.568585	0	0.512853	0	0.44361	0	0.491195	0	
22	0.568894	0	0.512744	0	0.443527	0	0.491176	0	
23	0.567141	0	0.512962	0	0.443278	0	0.490811	0	
24	0.566007	0	0.51258	0	0.443071	0	0.49037	0	
25	0.565078	0	0.512798	0	0.442947	0	0.490216	0	
26	0.565285	0	0.512634	0	0.442988	0	0.490216	0	
27	0.564666	0	0.512634	0	0.442947	0	0.490082	0	
28	0.564872	0	0.512307	0	0.443154	0	0.490101	0	
29	0.565594	0	0.511761	0	0.443071	0	0.490005	0	
30	0.565078	0	0.512471	0	0.442905	0	0.490082	0	
31	0.564769	0	0.512853	0	0.442988	0	0.490197	0	
32	0.564975	0	0.51258	0	0.443444	0	0.490351	0	
33	0.565388	0	0.512798	0	0.443942	0	0.490734	0	
34	0.565285	0	0.512416	0	0.443569	0	0.490408	0	
35	0.565594	0	0.511816	0	0.442573	0	0.489794	0	
36	0.565697	0	0.511652	0	0.442864	0	0.48989	0	
37	0.56611	0	0.511434	0	0.442822	0	0.489871	0	
38	0.565903	0	0.511707	0	0.442698	0	0.489871	0	
39	0.566007	0	0.51187	0	0.443195	0	0.490178	0	
40	0.566522	0	0.51187	0	0.443237	0	0.490293	0	
41	0.56776	0	0.511652	0	0.442988	0	0.490331	0	
42	0.56745	0	0.511379	0	0.442864	0	0.49012	0	
43	0.567347	0	0.511161	0	0.44332	0	0.490236	0	
44	0.567966	0	0.511325	0	0.443195	0	0.490351	0	
45	0.568791	0	0.510397	0	0.443113	0	0.49014	0	
46	0.568069	0	0.510342	0	0.442781	0	0.489833	0	
47	0.568894	0	0.50996	0	0.442822	0	0.489871	0	
48	0.56941	0	0.50996	0	0.443154	0	0.49012	0	
49	0.568172	0	0.509633	0	0.44332	0	0.489852	0	
50	0.567554	0	0.509524	0	0.443693	0	0.489871	0	
51	0.56745	0	0.509469	0	0.442822	0	0.48943	0	
52	0.56745	0	0.509906	0	0.443278	0	0.489794	0	
53	0.568172	0	0.510069	0	0.442988	0	0.489852	0	
54	0.56745	0	0.509687	0	0.44249	0	0.489353	0	
55	0.566832	0	0.509578	0	0.442076	0	0.489008	0	
56	0.566935	0	0.50996	0	0.441785	0	0.489027	0	
57	0.567141	0	0.510342	0	0.442076	0	0.489334	0	
58	0.567244	0	0.509633	0	0.4422	0	0.489161	0	
59	0.567141	0	0.509742	0	0.441329	0	0.488778	0	
60	0.567244	0	0.50936	0	0.441287	0	0.488643	0	
61	0.567966	0	0.509251	0	0.441744	0	0.48895	0	
62	0.567141	0	0.50996	0	0.44108	0	0.488739	0	
63	0.568379	0	0.509578	0	0.44137	0	0.488969	0	
64	0.568482	0	0.509796	0	0.440665	0	0.488739	0	
65	0.56941	0	0.509524	0	0.440873	0	0.488912	0	
66	0.569823	0	0.509687	0	0.440914	0	0.489065	0	
67	0.569719	0	0.509524	0	0.441536	0	0.489276	0	
68	0.570338	0	0.509687	0	0.441661	0	0.489507	0	
69	0.568791	0	0.509251	0	0.441827	0	0.489142	0	
70	0.568172	0	0.509906	0	0.441993	0	0.489334	0	
71	0.568069	0	0.51056	0	0.442407	0	0.489737	0	
72	0.567347	0	0.510615	0	0.442781	0	0.489794	0	
73	0.56745	0	0.510615	0	0.442822	0	0.489833	0	
74	0.567141	0	0.510397	0	0.442573	0	0.489583	0	
75	0.567554	0	0.51067	0	0.442159	0	0.489564	0	
