Day	peri_infected_0_0	plac_infected_0_0	peri_infected_1_2	plac_infected_1_2	peri_infected_3_max	plac_infected_3_max	peri_infected_all	plac_infected_all	
0	0.571928	0	0.515378	0	0.438347	0	0.490216	0	
1	0.57162	0	0.515761	0	0.438264	0	0.490255	0	
2	0.571928	0	0.515378	0	0.439339	0	0.490676	0	
3	0.571311	0	0.515105	0	0.439959	0	0.490752	0	
4	0.571003	0	0.514777	0	0.439793	0	0.490504	0	
5	0.571311	0	0.514504	0	0.439876	0	0.490504	0	
6	0.570797	0	0.51445	0	0.440413	0	0.490638	0	
7	0.571414	0	0.513357	0	0.439959	0	0.490159	0	
8	0.571311	0	0.512647	0	0.439669	0	0.489757	0	
9	0.571003	0	0.512046	0	0.439959	0	0.489623	0	
10	0.570694	0	0.511882	0	0.440041	0	0.489546	0	
11	0.570488	0	0.512374	0	0.440248	0	0.489776	0	
12	0.569769	0	0.512647	0	0.440165	0	0.489699	0	
13	0.569666	0	0.512647	0	0.439669	0	0.489451	0	
14	0.569974	0	0.512428	0	0.439793	0	0.489489	0	
15	0.570694	0	0.512374	0	0.44	0	0.489699	0	
16	0.570591	0	0.512101	0	0.440372	0	0.489757	0	
17	0.570386	0	0.512865	0	0.439959	0	0.489795	0	
18	0.570488	0	0.511991	0	0.440455	0	0.489738	0	
19	0.570591	0	0.511663	0	0.44062	0	0.489719	0	
20	0.570386	0	0.511554	0	0.44	0	0.489355	0	
21	0.569871	0	0.512483	0	0.439421	0	0.489316	0	
22	0.569049	0	0.512592	0	0.439174	0	0.489087	0	
23	0.569254	0	0.512865	0	0.439132	0	0.489202	0	
24	0.569974	0	0.512428	0	0.439463	0	0.489336	0	
25	0.569254	0	0.511991	0	0.438967	0	0.488819	0	
26	0.568226	0	0.51139	0	0.439339	0	0.488589	0	
27	0.568432	0	0.511008	0	0.438843	0	0.488263	0	
28	0.567815	0	0.511554	0	0.438967	0	0.488397	0	
29	0.567609	0	0.512046	0	0.438884	0	0.488493	0	
30	0.568226	0	0.511773	0	0.438843	0	0.488493	0	
31	0.568535	0	0.511609	0	0.438967	0	0.488551	0	
32	0.567301	0	0.511226	0	0.438471	0	0.487957	0	
33	0.567095	0	0.510899	0	0.438182	0	0.48767	0	
34	0.567301	0	0.511281	0	0.438471	0	0.487976	0	
35	0.566787	0	0.511226	0	0.438512	0	0.487881	0	
36	0.567712	0	0.511117	0	0.438306	0	0.487919	0	
37	0.568329	0	0.511063	0	0.438471	0	0.488091	0	
38	0.568021	0	0.511226	0	0.437893	0	0.487823	0	
39	0.569152	0	0.511336	0	0.43781	0	0.488034	0	
40	0.570077	0	0.511117	0	0.43781	0	0.488129	0	
41	0.57018	0	0.511172	0	0.43843	0	0.488455	0	
42	0.569871	0	0.512101	0	0.438595	0	0.4888	0	
43	0.569563	0	0.512975	0	0.437975	0	0.488761	0	
44	0.569152	0	0.51292	0	0.437686	0	0.488531	0	
45	0.56946	0	0.513193	0	0.438264	0	0.488953	0	
46	0.570077	0	0.513029	0	0.43876	0	0.48924	0	
47	0.570694	0	0.513576	0	0.438182	0	0.489278	0	
48	0.569666	0	0.514067	0	0.438347	0	0.489336	0	
49	0.570694	0	0.514286	0	0.438636	0	0.489738	0	
50	0.571208	0	0.514996	0	0.438264	0	0.48991	0	
51	0.571414	0	0.514559	0	0.438802	0	0.490044	0	
52	0.57162	0	0.514832	0	0.438843	0	0.490197	0	
53	0.571105	0	0.513958	0	0.438636	0	0.489699	0	
54	0.570797	0	0.514122	0	0.438843	0	0.489795	0	
55	0.571105	0	0.513739	0	0.439256	0	0.48991	0	
56	0.571105	0	0.514013	0	0.439752	0	0.490235	0	
57	0.571311	0	0.51363	0	0.440248	0	0.49037	0	
58	0.572237	0	0.513685	0	0.440537	0	0.490695	0	
59	0.571414	0	0.512865	0	0.440041	0	0.490025	0	
60	0.570591	0	0.512428	0	0.439174	0	0.489316	0	
61	0.570694	0	0.512374	0	0.439463	0	0.489451	0	
62	0.571208	0	0.512101	0	0.439174	0	0.489316	0	
63	0.571208	0	0.512428	0	0.439752	0	0.489699	0	
64	0.571208	0	0.512538	0	0.439587	0	0.489661	0	
65	0.570283	0	0.512264	0	0.438884	0	0.489068	0	
66	0.570591	0	0.512483	0	0.439421	0	0.489451	0	
67	0.569666	0	0.512046	0	0.439174	0	0.48901	0	
68	0.569357	0	0.512538	0	0.438719	0	0.488914	0	
69	0.569871	0	0.512538	0	0.438306	0	0.488819	0	
70	0.569563	0	0.513193	0	0.438099	0	0.488895	0	
71	0.570077	0	0.512483	0	0.437893	0	0.488646	0	
72	0.569871	0	0.512483	0	0.438636	0	0.488953	0	
73	0.569666	0	0.513193	0	0.439091	0	0.489374	0	
74	0.569871	0	0.513248	0	0.439711	0	0.489719	0	
75	0.569563	0	0.513521	0	0.440083	0	0.489929	0	
76	0.56874	0	0.513193	0	0.439752	0	0.489508	0	
77	0.56946	0	0.51292	0	0.439628	0	0.489489	0	
78	0.570694	0	0.512701	0	0.439421	0	0.489546	0	
79	0.569871	0	0.513357	0	0.439215	0	0.489527	0	
