Day	peri_infected_0_0	plac_infected_0_0	peri_infected_1_2	plac_infected_1_2	peri_infected_3_max	plac_infected_3_max	peri_infected_all	plac_infected_all	
0	0.129002	0	0.128939	0	0.113033	0	0.121611	0	
1	0.129209	0	0.129103	0	0.112783	0	0.121592	0	
2	0.129002	0	0.128665	0	0.112908	0	0.121457	0	
3	0.128899	0	0.128281	0	0.112824	0	0.121264	0	
4	0.128899	0	0.128555	0	0.113159	0	0.121515	0	
5	0.128899	0	0.127897	0	0.113368	0	0.12138	0	
6	0.128589	0	0.128226	0	0.1132	0	0.121361	0	
7	0.127969	0	0.128774	0	0.11295	0	0.121322	0	
8	0.127763	0	0.12861	0	0.113117	0	0.121303	0	
9	0.127866	0	0.128171	0	0.1132	0	0.121206	0	
10	0.127556	0	0.128226	0	0.113117	0	0.121129	0	
11	0.127763	0	0.128939	0	0.113326	0	0.121515	0	
12	0.127763	0	0.129322	0	0.113409	0	0.121688	0	
13	0.128279	0	0.128939	0	0.113702	0	0.121785	0	
14	0.128176	0	0.129213	0	0.113493	0	0.121765	0	
15	0.128176	0	0.128993	0	0.113451	0	0.121669	0	
16	0.128176	0	0.128445	0	0.113284	0	0.121399	0	
17	0.128279	0	0.128555	0	0.113033	0	0.121341	0	
18	0.128073	0	0.128336	0	0.113117	0	0.121264	0	
19	0.128073	0	0.12861	0	0.113159	0	0.12138	0	
20	0.128073	0	0.128719	0	0.113117	0	0.121399	0	
21	0.128279	0	0.128336	0	0.11295	0	0.121226	0	
22	0.129002	0	0.128336	0	0.113242	0	0.121496	0	
23	0.128692	0	0.127897	0	0.1132	0	0.121264	0	
24	0.128279	0	0.127843	0	0.113284	0	0.121206	0	
25	0.128383	0	0.127404	0	0.113159	0	0.121013	0	
26	0.128486	0	0.12713	0	0.113242	0	0.120975	0	
27	0.128383	0	0.126911	0	0.113368	0	0.120936	0	
28	0.127969	0	0.126747	0	0.113618	0	0.120917	0	
29	0.128073	0	0.126637	0	0.113368	0	0.120782	0	
30	0.127556	0	0.126527	0	0.113326	0	0.120628	0	
31	0.127556	0	0.126582	0	0.113493	0	0.120724	0	
32	0.127556	0	0.126034	0	0.113284	0	0.120435	0	
33	0.127453	0	0.126034	0	0.113284	0	0.120416	0	
34	0.127246	0	0.126089	0	0.113284	0	0.120396	0	
35	0.127556	0	0.126089	0	0.113075	0	0.120358	0	
36	0.12766	0	0.126089	0	0.1132	0	0.120435	0	
37	0.12735	0	0.126363	0	0.112992	0	0.120377	0	
38	0.127763	0	0.126089	0	0.112824	0	0.120281	0	
39	0.12735	0	0.126253	0	0.112699	0	0.120204	0	
40	0.127143	0	0.12598	0	0.112657	0	0.120049	0	
41	0.12704	0	0.125651	0	0.112783	0	0.119972	0	
42	0.12735	0	0.125541	0	0.112699	0	0.119953	0	
43	0.127556	0	0.125486	0	0.112908	0	0.120069	0	
44	0.127246	0	0.125706	0	0.112908	0	0.120088	0	
45	0.12704	0	0.125596	0	0.112824	0	0.119972	0	
46	0.12704	0	0.12587	0	0.112908	0	0.120107	0	
47	0.126627	0	0.125815	0	0.113033	0	0.120069	0	
48	0.126627	0	0.125322	0	0.113033	0	0.119895	0	
49	0.126523	0	0.124938	0	0.112992	0	0.119722	0	
50	0.126833	0	0.124336	0	0.113117	0	0.119625	0	
51	0.127143	0	0.124226	0	0.113075	0	0.119625	0	
52	0.127556	0	0.124336	0	0.112615	0	0.119529	0	
53	0.127246	0	0.123952	0	0.112615	0	0.119336	0	
54	0.127246	0	0.123842	0	0.11249	0	0.11924	0	
55	0.12735	0	0.123952	0	0.112281	0	0.119201	0	
56	0.127453	0	0.123514	0	0.112072	0	0.11897	0	
57	0.127246	0	0.123349	0	0.111989	0	0.118835	0	
58	0.12735	0	0.123459	0	0.111863	0	0.118835	0	
59	0.12704	0	0.12324	0	0.111821	0	0.11868	0	
60	0.12735	0	0.122966	0	0.112072	0	0.118757	0	
61	0.127556	0	0.122966	0	0.11178	0	0.118661	0	
62	0.12735	0	0.122966	0	0.111613	0	0.118545	0	
63	0.127453	0	0.12302	0	0.111445	0	0.118507	0	
64	0.127453	0	0.122746	0	0.111529	0	0.118449	0	
65	0.12735	0	0.122418	0	0.111571	0	0.118333	0	
66	0.127143	0	0.122527	0	0.111445	0	0.118275	0	
67	0.12704	0	0.122418	0	0.11132	0	0.11816	0	
68	0.12704	0	0.122198	0	0.110819	0	0.117851	0	
69	0.127143	0	0.122089	0	0.110944	0	0.11789	0	
70	0.12704	0	0.122308	0	0.11086	0	0.117909	0	
71	0.126627	0	0.122856	0	0.110819	0	0.118005	0	
72	0.126937	0	0.123075	0	0.11061	0	0.118044	0	
73	0.126317	0	0.12313	0	0.110693	0	0.117986	0	
74	0.126627	0	0.12324	0	0.110986	0	0.118218	0	
75	0.126317	0	0.122637	0	0.111195	0	0.118044	0	
76	0.1258	0	0.122253	0	0.111236	0	0.117832	0	
77	0.125594	0	0.122527	0	0.111278	0	0.117909	0	
78	0.124768	0	0.122527	0	0.111362	0	0.117793	0	
79	0.125077	0	0.122198	0	0.111195	0	0.117658	0	
80	0.124871	0	0.121815	0	0.111195	0	0.117485	0	
81	0.124561	0	0.12176	0	0.110902	0	0.117273	0	
82	0.125594	0	0.121815	0	0.110777	0	0.117427	0	
83	0.1258	0	0.121596	0	0.110484	0	0.117253	0	
84	0.125594	0	0.121596	0	0.110526	0	0.117234	0	
85	0.125697	0	0.121431	0	0.110401	0	0.117138	0	
86	0.125491	0	0.121596	0	0.110234	0	0.11708	0	
87	0.125387	0	0.121705	0	0.110443	0	0.117196	0	
88	0.125697	0	0.121541	0	0.110443	0	0.117196	0	
89	0.125181	0	0.121541	0	0.110443	0	0.117099	0	
90	0.124974	0	0.121322	0	0.110359	0	0.116945	0	
91	0.12704	0.123941	0.122801	0.1165	0.111236	0.100121	0.118256	0.110331	
92	0.12735	0.124251	0.12324	0.116828	0.111445	0.100372	0.118565	0.11062	
