Day	peri_infected_0_0	plac_infected_0_0	peri_infected_1_2	plac_infected_1_2	peri_infected_3_max	plac_infected_3_max	peri_infected_all	plac_infected_all	
0	0.571664	0	0.509735	0	0.442462	0	0.4901	0	
1	0.57228	0	0.510117	0	0.442007	0	0.490138	0	
2	0.572795	0	0.510172	0	0.44176	0	0.490138	0	
3	0.571252	0	0.509626	0	0.44176	0	0.48966	0	
4	0.570944	0	0.510117	0	0.441305	0	0.489564	0	
5	0.571149	0	0.510772	0	0.441347	0	0.489851	0	
6	0.571766	0	0.510445	0	0.441223	0	0.489794	0	
7	0.571869	0	0.510445	0	0.441388	0	0.489889	0	
8	0.570533	0	0.510226	0	0.440892	0	0.489334	0	
9	0.569607	0	0.510226	0	0.441347	0	0.489373	0	
10	0.56899	0	0.510445	0	0.44176	0	0.489526	0	
11	0.567962	0	0.510608	0	0.442173	0	0.489583	0	
12	0.567448	0	0.511208	0	0.442049	0	0.489641	0	
13	0.566728	0	0.510881	0	0.442049	0	0.489392	0	
14	0.566523	0	0.511426	0	0.442214	0	0.489621	0	
15	0.567037	0	0.511372	0	0.441677	0	0.489449	0	
16	0.566934	0	0.512517	0	0.441594	0	0.489794	0	
17	0.567037	0	0.512626	0	0.441801	0	0.489947	0	
18	0.56714	0	0.512517	0	0.441718	0	0.489889	0	
19	0.567551	0	0.512681	0	0.441057	0	0.489717	0	
20	0.567757	0	0.512517	0	0.440975	0	0.48966	0	
21	0.56899	0	0.512353	0	0.440438	0	0.489583	0	
22	0.569402	0	0.511863	0	0.440273	0	0.489411	0	
23	0.56899	0	0.511699	0	0.439818	0	0.489067	0	
24	0.567962	0	0.512299	0	0.440273	0	0.489296	0	
25	0.568065	0	0.511426	0	0.440149	0	0.488952	0	
26	0.566831	0	0.511481	0	0.440892	0	0.489086	0	
27	0.567757	0	0.511317	0	0.440892	0	0.489201	0	
28	0.568168	0	0.511263	0	0.440231	0	0.488952	0	
29	0.568168	0	0.510608	0	0.44019	0	0.488703	0	
30	0.567757	0	0.510717	0	0.440149	0	0.488646	0	
31	0.567962	0	0.510499	0	0.439901	0	0.488493	0	
32	0.567962	0	0.510281	0	0.439488	0	0.488225	0	
33	0.566626	0	0.51039	0	0.439116	0	0.487842	0	
34	0.566523	0	0.511044	0	0.439199	0	0.488091	0	
35	0.566626	0	0.511426	0	0.43986	0	0.48855	0	
36	0.566214	0	0.511208	0	0.439901	0	0.488416	0	
37	0.566317	0	0.51159	0	0.440066	0	0.488646	0	
38	0.566214	0	0.510717	0	0.439694	0	0.488148	0	
39	0.56714	0	0.510935	0	0.439488	0	0.488301	0	
40	0.567345	0	0.510717	0	0.43924	0	0.488148	0	
41	0.568271	0	0.511099	0	0.439157	0	0.488416	0	
42	0.567345	0	0.510717	0	0.43862	0	0.487861	0	
43	0.567551	0	0.510663	0	0.43829	0	0.487727	0	
44	0.569093	0	0.511481	0	0.438455	0	0.488378	0	
45	0.569504	0	0.511426	0	0.438455	0	0.488435	0	
46	0.569196	0	0.510826	0	0.438125	0	0.488014	0	
47	0.569607	0	0.511535	0	0.437464	0	0.488034	0	
48	0.569299	0	0.510935	0	0.437257	0	0.48767	0	
49	0.569093	0	0.511263	0	0.437794	0	0.487995	0	
50	0.570019	0	0.511753	0	0.437505	0	0.488206	0	
51	0.569504	0	0.511699	0	0.437629	0	0.488148	0	
52	0.569299	0	0.511208	0	0.437423	0	0.487842	0	
53	0.568579	0	0.511044	0	0.437423	0	0.487651	0	
54	0.56899	0	0.510826	0	0.437092	0	0.487498	0	
55	0.569916	0	0.510608	0	0.437629	0	0.487842	0	
56	0.566831	0	0.509845	0	0.437464	0	0.486924	0	
57	0.566831	0	0.510335	0	0.437299	0	0.48702	0	
58	0.56714	0	0.510226	0	0.436927	0	0.486867	0	
59	0.567037	0	0.510226	0	0.436555	0	0.486675	0	
60	0.567859	0	0.510335	0	0.436638	0	0.486905	0	
61	0.568271	0	0.510281	0	0.43639	0	0.486847	0	
62	0.568271	0	0.511099	0	0.436101	0	0.487	0	
63	0.568579	0	0.511154	0	0.435399	0	0.486752	0	
64	0.569093	0	0.511317	0	0.435481	0	0.486943	0	
65	0.569299	0	0.511481	0	0.43639	0	0.48746	0	
66	0.569607	0	0.51099	0	0.436101	0	0.487211	0	
67	0.569916	0	0.511426	0	0.436018	0	0.487383	0	
68	0.570327	0	0.511426	0	0.435316	0	0.487134	0	
69	0.570327	0	0.51159	0	0.434986	0	0.487039	0	
70	0.570533	0	0.51099	0	0.434655	0	0.486713	0	
71	0.570224	0	0.511154	0	0.435192	0	0.486962	0	
72	0.569813	0	0.51099	0	0.435109	0	0.48679	0	
73	0.568888	0	0.510063	0	0.435523	0	0.486484	0	
74	0.569093	0	0.509899	0	0.435605	0	0.486503	0	
75	0.569196	0	0.509954	0	0.435688	0	0.48658	0	
76	0.570019	0	0.510172	0	0.435729	0	0.486828	0	
77	0.570121	0	0.509408	0	0.435977	0	0.486694	0	
78	0.570224	0	0.509136	0	0.436101	0	0.486675	0	
79	0.570738	0	0.50859	0	0.436101	0	0.48658	0	
80	0.571355	0	0.508536	0	0.43577	0	0.486522	0	
81	0.571252	0	0.508099	0	0.436059	0	0.486484	0	
82	0.571355	0	0.508154	0	0.436183	0	0.48658	0	
83	0.571561	0	0.508263	0	0.436142	0	0.486637	0	
84	0.571252	0	0.508154	0	0.435812	0	0.486388	0	
85	0.572383	0	0.50799	0	0.435853	0	0.48656	0	
86	0.573206	0	0.508481	0	0.436183	0	0.487039	0	
87	0.573206	0	0.508645	0	0.436266	0	0.487134	0	
88	0.572692	0	0.50859	0	0.437051	0	0.487383	0	
89	0.572383	0	0.508208	0	0.437175	0	0.487249	0	
90	0.571252	0	0.508263	0	0.437257	0	0.487096	0	
91	0.574131	0.562718	0.511154	0.447287	0.440066	0.325692	0.489947	0.412447	
92	0.575673	0.565083	0.512463	0.448377	0.440479	0.325279	0.490884	0.413078	
93	0.576702	0.566626	0.513553	0.449196	0.440686	0.323957	0.491554	0.41304	
94	0.578141	0.568065	0.51459	0.449523	0.442007	0.322222	0.492797	0.412619	
95	0.580814	0.568785	0.515844	0.449414	0.443205	0.320611	0.494289	0.411968	
96	0.582048	0.56971	0.516826	0.449196	0.444486	0.318587	0.495456	0.411127	
97	0.583693	0.569402	0.517862	0.44805	0.44494	0.316563	0.496336	0.40973	
98	0.584721	0.569916	0.519007	0.448868	0.445973	0.314705	0.497408	0.409252	
99	0.586161	0.570944	0.520207	0.448759	0.446221	0.311937	0.498211	0.408123	
100	0.587703	0.570944	0.521407	0.448377	0.446758	0.309872	0.499168	0.407033	
101	0.588526	0.571355	0.522771	0.446959	0.447129	0.30727	0.499971	0.405406	
102	0.590171	0.573	0.523752	0.445814	0.447418	0.304709	0.500756	0.404125	
103	0.591713	0.573206	0.525116	0.444123	0.448038	0.302933	0.501808	0.402747	
104	0.593564	0.573206	0.526152	0.441887	0.448781	0.299546	0.50286	0.400394	
105	0.595312	0.573	0.52757	0.440687	0.449566	0.296819	0.504046	0.398672	
106	0.596751	0.572795	0.528716	0.439269	0.450268	0.29335	0.505041	0.39653	
107	0.597676	0.572486	0.530025	0.437469	0.450599	0.289467	0.505825	0.394043	
108	0.598396	0.571972	0.530515	0.435669	0.451177	0.286948	0.506399	0.392149	
109	0.599835	0.572589	0.531661	0.433924	0.451921	0.283313	0.507413	0.389968	
110	0.601172	0.571561	0.532752	0.431797	0.452127	0.280421	0.50814	0.387691	
111	0.603228	0.572692	0.533515	0.43027	0.452251	0.277571	0.508848	0.386046	
112	0.604051	0.572589	0.534061	0.428852	0.452829	0.275547	0.50946	0.384592	
113	0.605285	0.572589	0.534988	0.426234	0.452623	0.272408	0.509919	0.38222	
114	0.607033	0.571972	0.535424	0.424216	0.453614	0.269765	0.510857	0.380173	
115	0.607958	0.571355	0.53586	0.42198	0.454151	0.267245	0.511431	0.378106	
116	0.608678	0.571355	0.536733	0.419853	0.454482	0.265097	0.512024	0.376365	
117	0.610117	0.571355	0.536842	0.417507	0.454977	0.262743	0.51256	0.374452	
118	0.611454	0.571355	0.538042	0.416199	0.454936	0.26076	0.51321	0.373075	
119	0.612379	0.571047	0.539078	0.414181	0.455556	0.258653	0.514033	0.371334	
120	0.61423	0.571252	0.539733	0.412653	0.455886	0.256423	0.51476	0.369804	
121	0.615258	0.571869	0.539896	0.410526	0.456382	0.254729	0.515238	0.368388	
122	0.616286	0.571869	0.540605	0.408617	0.457166	0.251921	0.516041	0.366417	
123	0.61752	0.570944	0.541369	0.407036	0.457249	0.250062	0.516577	0.364829	
124	0.618137	0.57043	0.542242	0.403927	0.457332	0.247955	0.517036	0.362668	
125	0.619474	0.570019	0.543223	0.401636	0.457745	0.245394	0.517821	0.360601	
126	0.620296	0.569196	0.543332	0.400491	0.457332	0.242586	0.517821	0.358746	
127	0.620707	0.569093	0.543605	0.3988	0.457869	0.240066	0.518241	0.356967	
128	0.621324	0.567859	0.544641	0.397382	0.458653	0.238827	0.519083	0.355666	
129	0.62225	0.567962	0.545841	0.395582	0.458819	0.237092	0.519753	0.35425	
130	0.622455	0.567551	0.546005	0.394437	0.458695	0.235316	0.519791	0.352949	
131	0.623483	0.56642	0.546714	0.393128	0.45853	0.233622	0.520155	0.351495	
132	0.6241	0.566111	0.547532	0.391764	0.458406	0.231722	0.520499	0.350079	
133	0.625026	0.563952	0.547423	0.389855	0.458695	0.229451	0.520767	0.347956	
134	0.626671	0.56313	0.547914	0.388165	0.459025	0.228088	0.521398	0.346578	
135	0.627288	0.561896	0.548296	0.386801	0.459273	0.226848	0.521762	0.345297	
136	0.627596	0.560045	0.549386	0.38571	0.459067	0.224246	0.522106	0.343364	
137	0.628419	0.558195	0.549223	0.382983	0.45919	0.221148	0.522259	0.340629	
138	0.629344	0.557989	0.548896	0.380584	0.459356	0.21995	0.522393	0.339194	
139	0.630886	0.55768	0.549277	0.379384	0.459025	0.21739	0.522661	0.337529	
140	0.631298	0.557783	0.549168	0.376602	0.459232	0.215366	0.522795	0.335635	
141	0.631709	0.557166	0.549714	0.37453	0.459356	0.213879	0.52312	0.334105	
142	0.632634	0.556652	0.550314	0.373166	0.459562	0.211772	0.523598	0.332555	
143	0.632943	0.55511	0.550804	0.371748	0.459232	0.210492	0.523675	0.331178	
144	0.633251	0.553568	0.550859	0.369403	0.459521	0.209665	0.523885	0.329686	
145	0.634588	0.552231	0.551132	0.366785	0.459273	0.20822	0.524115	0.327849	
146	0.635513	0.552437	0.55135	0.365094	0.459232	0.205783	0.524344	0.326166	
147	0.635822	0.550895	0.551459	0.363185	0.45919	0.203965	0.524421	0.324367	
148	0.636336	0.550586	0.551513	0.361549	0.459273	0.202561	0.524574	0.323085	
149	0.637055	0.549969	0.551895	0.359695	0.459603	0.20157	0.524995	0.321861	
150	0.637775	0.548427	0.551841	0.358386	0.46014	0.200496	0.525358	0.320618	
151	0.638803	0.548427	0.551786	0.35724	0.460223	0.199133	0.525569	0.319584	
152	0.640345	0.548016	0.552168	0.355659	0.460223	0.197563	0.52599	0.318226	
153	0.640551	0.547502	0.552004	0.353968	0.46043	0.195167	0.526066	0.316428	
154	0.640551	0.546576	0.552059	0.352332	0.460017	0.193226	0.525894	0.314783	
155	0.640551	0.545651	0.552004	0.351295	0.459851	0.191409	0.525798	0.313405	
156	0.640962	0.544623	0.551623	0.349605	0.460058	0.190252	0.525837	0.312085	
157	0.642196	0.544314	0.551186	0.347914	0.460471	0.190004	0.526104	0.31132	
158	0.642505	0.54308	0.550968	0.346114	0.460182	0.188806	0.525951	0.309904	
159	0.642813	0.542566	0.550532	0.344205	0.459934	0.187732	0.525741	0.308642	
160	0.64271	0.540818	0.550477	0.342078	0.459603	0.186411	0.52555	0.306958	
161	0.643533	0.539687	0.550423	0.34066	0.459438	0.185089	0.525607	0.305638	
162	0.643944	0.539379	0.549877	0.339406	0.459314	0.184097	0.525435	0.304681	
163	0.645178	0.538659	0.550095	0.338424	0.458819	0.183395	0.525511	0.303878	
164	0.645178	0.537734	0.549877	0.336024	0.458819	0.182817	0.525435	0.302596	
165	0.645589	0.537117	0.549877	0.333951	0.458571	0.18166	0.525396	0.301219	
166	0.646309	0.535472	0.549768	0.333242	0.45853	0.179843	0.525473	0.299822	
167	0.647131	0.533621	0.549659	0.332588	0.458406	0.178315	0.52553	0.29854	
168	0.647748	0.533107	0.550095	0.330897	0.458447	0.176663	0.525817	0.297086	
169	0.647851	0.531976	0.549932	0.329588	0.45919	0.175382	0.526123	0.295824	
170	0.647851	0.529714	0.550259	0.328334	0.459397	0.173978	0.526334	0.294312	
171	0.648365	0.528583	0.550095	0.327243	0.459727	0.173606	0.526525	0.293547	
172	0.648982	0.528069	0.54955	0.325825	0.459356	0.173193	0.526277	0.292763	
173	0.648982	0.527555	0.549877	0.323916	0.458901	0.171458	0.526181	0.291194	
174	0.649291	0.527761	0.549877	0.322171	0.459603	0.170673	0.526563	0.290257	
175	0.649907	0.526424	0.549659	0.320916	0.459727	0.169765	0.526659	0.289147	
176	0.650524	0.525396	0.549986	0.319335	0.460223	0.169104	0.527118	0.288095	
177	0.650422	0.524059	0.550259	0.318298	0.460099	0.168443	0.527137	0.287176	
178	0.65073	0.523751	0.550095	0.317153	0.460306	0.167988	0.527233	0.286507	
179	0.650627	0.52262	0.550095	0.316771	0.459934	0.166584	0.527042	0.285512	
180	0.651038	0.521489	0.550368	0.315517	0.45981	0.165882	0.527157	0.284536	
181	0.650936	0.520872	0.550532	0.315408	0.459397	0.165386	0.527004	0.284154	
182	0.65145	0.520152	0.551023	0.314153	0.459603	0.164271	0.527367	0.283063	
183	0.651347	0.519535	0.551241	0.312735	0.45948	0.163899	0.527367	0.282279	
184	0.651655	0.518404	0.551623	0.311863	0.459232	0.162577	0.527444	0.28115	
185	0.651758	0.51717	0.551623	0.310608	0.458736	0.161917	0.527233	0.280174	
186	0.651758	0.516039	0.551186	0.309299	0.458364	0.160512	0.526908	0.278854	
